id,name,tag,content_category,tag_source
babykopohome,Babykopo home,Nấu ăn & Công thức nấu ăn,Food & Beverage,video_tag
bacgau1989,BÁC GẤU,Cuộc sống hàng ngày,Lifestyle,video_tag
bacgau1989,BÁC GẤU,Trò chơi điện tử,Gaming,video_tag
bachmytiktok,Bach My,Hát nhép,Entertainment,video_tag
bachmytiktok,Bach My,Mukbang & Nếm thức ăn,Food & Beverage,video_tag
bachmytiktok,Bach My,Nhảy,Entertainment,video_tag
backcumback,Bách Khỉ,Cuộc sống hàng ngày,Lifestyle,video_tag
backcumback,Bách Khỉ,Gia đình,Family & Relationship,video_tag
backcumback,Bách Khỉ,Hài kịch,Entertainment,video_tag
backcumback,Bách Khỉ,Trò chơi không phải điện tử,Games & Toys,video_tag
bakhuongdaily,Bà Khương Daily,Cuộc sống hàng ngày,Lifestyle,video_tag
bakhuongdaily,Bà Khương Daily,Nấu ăn & Công thức nấu ăn,Food & Beverage,video_tag
bakhuongdaily,Bà Khương Daily,Động lực cuộc sống,Lifestyle,video_tag
ban_nhac_suy,🎶 𝑩𝒂̉𝒏 𝑵𝒉𝒂̣𝒄 𝑺𝒖𝒚 🎶,Âm nhạc,Entertainment,video_tag
banddz7,banddz7,Hát nhép,Entertainment,video_tag
banddz7,banddz7,Ảnh tự chụp,Lifestyle,video_tag
bang.bang8.8,鹏鹏,Hát nhép,Entertainment,video_tag
bang.bang8.8,鹏鹏,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
bang.bang8.8,鹏鹏,Trang phục,Fashion,video_tag
bang.thuu17,Trương AnThư 🥕𐙚🧸ྀི,Hát nhép,Entertainment,video_tag
bang.thuu17,Trương AnThư 🥕𐙚🧸ྀི,Nhảy,Entertainment,video_tag
bang.thuu17,Trương AnThư 🥕𐙚🧸ྀི,Ảnh tự chụp,Lifestyle,video_tag
banhbaomottrung,Bánh Bao 1 Trứng,Hài kịch,Entertainment,video_tag
