ID,Name,Country,Collab Score,Broadcast Score,Commerce Score,Followers,Median Views,Engagement,Price,Field Tags,Video Tags
thphuongvo,Thu Phương,Việt Nam,81.5,93.0,N/A,"2,7M","546,3K","6,98%",18.000.000 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Mỹ phẩm","Thiết kế & chăm sóc tóc, Nhảy, Hướng dẫn & mẹo làm đẹp"
miloondiet,Milo On Diet,Việt Nam,75.7,N/A,N/A,"1,4M","398,4K","5,27%",24.636.710 VND,"Thực phẩm và Đồ uống, Sản phẩm gia dụng, May mặc & Phụ kiện, Trang phục và phụ kiện khác",Mukbang & Nếm thức ăn
tinathaothidaily,tinathaothidaily,Việt Nam,76.1,N/A,N/A,"2,4M","1,1M","6,59%",58.216.708 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Mukbang & Nếm thức ăn, Cuộc sống hàng ngày, Khám phá nhà hàng"
yenkhachhanglathuongde,Hồng Yên,Việt Nam,76.3,93.0,N/A,"1,9M","410,7K","6,14%",2.884.269 VND,,"Âm nhạc, Cuộc sống hàng ngày"
asmobilett,AS Mobile,Việt Nam,76.1,N/A,N/A,"3,8M",23K,"6,37%",10.000.000 VND,,Trò chơi điện tử
lcdt.306,Lê Công Duy Tính 🎨,Việt Nam,74.5,N/A,N/A,"1,4M","152,7K","5,16%",3.924.385 VND,,Nghệ thuật
tai2701,Nguyễn Văn Tài,Việt Nam,95.7,100.0,95.2,"15,5M","230,8K","7,29%",30.000.000 VND,Tin tức và Giải trí,"Hướng dẫn & mẹo làm đẹp, Trang phục, Tình yêu & Mối quan hệ lãng mạn"
poppyyy0101,🐰 Poppy Nguyễn 🐰,Việt Nam,76.4,91.6,N/A,"2,1M","253,2K","4,78%",8.693.685 VND,"Tin tức và Giải trí, Thương mại điện tử (không dùng ứng dụng)",Nhảy
panny_tran,Yphung Tran,Việt Nam,76.0,90.9,N/A,"1,6M","185,3K","4,34%",3.174.014 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Hát nhép, Nhảy"
phunglai2222,🤡 𝓟𝓱𝓾̣𝓷𝓰 𝓛𝓪𝓲 🤡,Việt Nam,76.9,93.0,N/A,"3,6M","451,3K","5,41%",7.038.230 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Mẹ & Bé","Cuộc sống hàng ngày, Nhà cửa & Vườn tược, Khám phá nhà hàng"
nguyenphilong2006,LongR Official,Việt Nam,76.9,97.2,N/A,"1,1M","517,6K","6,71%",5.000.000 VND,,Trò chơi điện tử
chichilinh__,Chi Chi Linh☕️,Việt Nam,90.3,92.3,N/A,"3,4M","174,1K","6,40%",20.000.000 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Hát nhép, Nhảy, Hướng dẫn & mẹo làm đẹp"
maitrithuc2020,Mai Trí Thức,Việt Nam,80.6,95.8,N/A,"2,2M",574K,"17,25%",34.760.565 VND,,"Hài kịch, Hát nhép"
truongphuongcherry,Trương Phương,Việt Nam,85.9,N/A,N/A,"1,3M","423,3K","4,52%",21.012.083 VND,,"Mukbang & Nếm thức ăn, Cuộc sống hàng ngày"
minhanh09092004,Minh Anh Hoàng,Việt Nam,77.7,97.3,N/A,"1,8M",47K,"5,38%",2.846.902 VND,,
chloedo198,Ngân thứt làm đẹp 💅🏻,Việt Nam,89.3,93.0,N/A,"776,3K","66,3K","5,03%",1.513.140 VND,,"Tin tức xã hội & Sự kiện, Hướng dẫn & mẹo làm đẹp"
kieuduylong16,Kiều Duy Long,Việt Nam,75.5,N/A,N/A,"2,7M","201,6K","5,59%",18.329.907 VND,,"Nấu ăn & Công thức nấu ăn, Mukbang & Nếm thức ăn"
